Sorting Algorithm,Case,Size (n),Time
Bubble Sort,Best,100,0.00056
Bubble Sort,Avg,100,0.00082
Bubble Sort,Worst,100,0.00109
Quick Sort,Best,100,0.00016
Quick Sort,Avg,100,0.00015
Quick Sort,Worst,100,0.00049
Merge Sort,Best,100,0.00043
Merge Sort,Avg,100,0.00034
Merge Sort,Worst,100,0.00035
Radix Sort,Best,100,0.00023
Radix Sort,Avg,100,0.00022
Radix Sort,Worst,100,0.00022
Bubble Sort,Best,1000,0.06859
Bubble Sort,Avg,1000,0.09782
Bubble Sort,Worst,1000,0.12799
Quick Sort,Best,1000,0.00218
Quick Sort,Avg,1000,0.00229
Quick Sort,Worst,1000,INF. STACK OVERFLOW
Merge Sort,Best,1000,0.00462
Merge Sort,Avg,1000,0.00486
Merge Sort,Worst,1000,0.0046
Radix Sort,Best,1000,0.00357
Radix Sort,Avg,1000,0.003
Radix Sort,Worst,1000,0.00301
Bubble Sort,Best,10000,6.71192
Bubble Sort,Avg,10000,10.2318
Bubble Sort,Worst,10000,13.26873
Quick Sort,Best,10000,0.03053
Quick Sort,Avg,10000,0.02936
Quick Sort,Worst,10000,INF. STACK OVERFLOW
Merge Sort,Best,10000,0.05878
Merge Sort,Avg,10000,0.05873
Merge Sort,Worst,10000,0.05887
Radix Sort,Best,10000,0.04107
Radix Sort,Avg,10000,0.04384
Radix Sort,Worst,10000,0.03989
Bubble Sort,Best,100000,456.47514
Bubble Sort,Avg,100000,924.21164
Bubble Sort,Worst,100000,846.81153
Quick Sort,Best,100000,0.22848
Quick Sort,Avg,100000,0.19724
Quick Sort,Worst,100000,INF. STACK OVERFLOW
Merge Sort,Best,100000,0.39064
Merge Sort,Avg,100000,0.39054
Merge Sort,Worst,100000,0.35847
Radix Sort,Best,100000,0.38204
Radix Sort,Avg,100000,0.38218
Radix Sort,Worst,100000,0.38509
